Position,Track Name,Artist,Streams,date,region,id
1,Shape of You,Ed Sheeran,51095759,2017-01-06--2017-01-13,global,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,35168298,2017-01-06--2017-01-13,global,6PCUP3dWmTjcTtXY02oFdT
3,Starboy,The Weeknd,24261229,2017-01-06--2017-01-13,global,5aAx2yezTd8zXrkmtKl66Z
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,21671209,2017-01-06--2017-01-13,global,5knuzwU65gJK7IF5yJsuaW
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,21513043,2017-01-06--2017-01-13,global,3NdDpSvN911VPGivFlV5d0
6,Closer,The Chainsmokers,20618002,2017-01-06--2017-01-13,global,7BKLCZ1jbUBVqRi2FVlTVw
7,Say You Won't Let Go,James Arthur,18269129,2017-01-06--2017-01-13,global,5uCax9HTNlzGybIStD3vDh
8,Don't Wanna Know,Maroon 5,17879498,2017-01-06--2017-01-13,global,5MFzQMkrl1FOOng9tq6R9r
9,I Feel It Coming,The Weeknd,17465511,2017-01-06--2017-01-13,global,5GXAXm5YOmYT0kL5jHvYBt
10,Fake Love,Drake,17377668,2017-01-06--2017-01-13,global,343YBumqHu19cGoGARUTsd
11,Let Me Love You,DJ Snake,16695321,2017-01-06--2017-01-13,global,4pdPtRcBmOSQDlJ3Fk945m
12,24K Magic,Bruno Mars,15722670,2017-01-06--2017-01-13,global,6b8Be6ljOzmkOmFslEb23P
13,Bad and Boujee (feat. Lil Uzi Vert),Migos,15176991,2017-01-06--2017-01-13,global,4Km5HrUvYTaSUfiSGPJeQR
14,Call On Me - Ryan Riback Extended Remix,Starley,14908553,2017-01-06--2017-01-13,global,78rIJddV4X0HkNAInEcYde
15,Chantaje (feat. Maluma),Shakira,14531664,2017-01-06--2017-01-13,global,6mICuAdrwEjh6Y6lroV2Kg
16,Black Beatles,Rae Sremmurd,14494204,2017-01-06--2017-01-13,global,6fujklziTHa8uoM5OQSfIo
17,Just Hold On,Steve Aoki,13776006,2017-01-06--2017-01-13,global,3EmmCZoqpWOTY1g2GBwJoR
18,Bad Things (with Camila Cabello),Machine Gun Kelly,13257430,2017-01-06--2017-01-13,global,1PSBzsahR2AKwLJgx8ehBj
19,One Dance,Drake,12766155,2017-01-06--2017-01-13,global,1xznGGDReH1oQq0xzbwXa3
20,In the Name of Love,Martin Garrix,12737156,2017-01-06--2017-01-13,global,04DwTuZ2VBdJCCC5TROn7L
21,Cold Water (feat. Justin Bieber & MØ),Major Lazer,12641038,2017-01-06--2017-01-13,global,6DNtNfH8hXkqOX1sjqmI7p
22,Side To Side,Ariana Grande,12593728,2017-01-06--2017-01-13,global,4pLwZjInHj3SimIyN9SnOz
23,Mercy,Shawn Mendes,11536805,2017-01-06--2017-01-13,global,4TZy1wLyHec06pwgFYDh1a
24,All We Know,The Chainsmokers,11067857,2017-01-06--2017-01-13,global,2rizacJSyD9S1IQUxUxnsK
25,Starving,Hailee Steinfeld,10571831,2017-01-06--2017-01-13,global,1qOLh0tI7trd1zdDKxYZTe
26,My Way,Calvin Harris,10215538,2017-01-06--2017-01-13,global,1vvNmPOiUuyCbgWmtc6yfm
27,All Night,The Vamps,9932453,2017-01-06--2017-01-13,global,1yNyoWWWikbLhwIGWjZuDW
28,Heathens,Twenty One Pilots,9890873,2017-01-06--2017-01-13,global,6i0V12jOa3mr6uu4WYhUBr
29,I Would Like,Zara Larsson,9700643,2017-01-06--2017-01-13,global,4Q4jmPHwu0wrJvqrld0FQ6
30,Scars To Your Beautiful,Alessia Cara,9682195,2017-01-06--2017-01-13,global,0prNGof3XqfTvNDxHonvdK
31,Shed a Light,Robin Schulz,9631026,2017-01-06--2017-01-13,global,1cG0umU5TKStygKsPFZ9pY
32,Now and Later,Sage The Gemini,9520712,2017-01-06--2017-01-13,global,43jBqV3j3Xi1g6wO0bhIMd
33,Hear Me Now,Alok,9431454,2017-01-06--2017-01-13,global,1a5Yu5L18qNxVhXx38njON
34,Love Me Now,John Legend,9359099,2017-01-06--2017-01-13,global,6nxQdXa1uAL0rY72wPZu89
35,Treat You Better,Shawn Mendes,9342334,2017-01-06--2017-01-13,global,4Hf7WnR761jpxPr5D46Bcd
36,"How Far I'll Go - From ""Moana""",Alessia Cara,9304477,2017-01-06--2017-01-13,global,5hYTyyh2odQKphUbMqc5gN
37,By Your Side,Jonas Blue,9197229,2017-01-06--2017-01-13,global,1D3ODoXHBLpdxolZRHWV1j
38,Don't Let Me Down,The Chainsmokers,8953677,2017-01-06--2017-01-13,global,0QsvXIfqM0zZoerQfsI9lm
39,Reggaetón Lento (Bailemos),CNCO,8806925,2017-01-06--2017-01-13,global,3AEZUABDXNtecAOSC1qTfo
40,Alone,Alan Walker,8602986,2017-01-06--2017-01-13,global,0JiVRyTJcJnmlwCZ854K4p
41,Photograph,Ed Sheeran,8100952,2017-01-06--2017-01-13,global,6fxVffaTuwjgEk5h9QyRjy
42,Caroline,Aminé,8084266,2017-01-06--2017-01-13,global,5GFDrUTLGJix84sNhjCG0g
43,The Mack,Nevada,7948183,2017-01-06--2017-01-13,global,7aV2mflaASUmGhCErm7kBO
44,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,7906264,2017-01-06--2017-01-13,global,6JV2JOEocMgcZxYSZelKcc
45,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,7844059,2017-01-06--2017-01-13,global,68EMU2RD1ECNeOeJ5qAXCV
46,Bounce Back,Big Sean,7476451,2017-01-06--2017-01-13,global,0SGkqnVQo9KPytSri1H6cF
47,Cheap Thrills,Sia,7464457,2017-01-06--2017-01-13,global,27SdWb2rFzO6GWiYDBTD9j
48,Broccoli (feat. Lil Yachty),DRAM,7430168,2017-01-06--2017-01-13,global,7yyRTcZmCiyzzJlNzGC9Ol
49,The Greatest,Sia,7347941,2017-01-06--2017-01-13,global,7xHWNBFm6ObGEQPaUxHuKO
50,Safari,J Balvin,7310856,2017-01-06--2017-01-13,global,6rQSrBHf7HlZjtcMZ4S4bO
51,Solo Dance,Martin Jensen,6897117,2017-01-06--2017-01-13,global,6HUnnBwYZqcED1eQztxMBN
52,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,6865796,2017-01-06--2017-01-13,global,17Fd6Yb7mSbinKG8LoWfFl
53,Human,Rag'n'Bone Man,6431796,2017-01-06--2017-01-13,global,58zsLZPvfflaiIbNWoA22O
54,Vente Pa' Ca,Ricky Martin,6305524,2017-01-06--2017-01-13,global,7DM4BPaS7uofFul3ywMe46
55,Otra vez (feat. J Balvin),Zion & Lennox,6250623,2017-01-06--2017-01-13,global,3QwBODjSEzelZyVjxPOHdq
56,All Time Low,Jon Bellion,6148944,2017-01-06--2017-01-13,global,1CnPYaKxTVb4LWOtiGOm0m
57,Party Monster,The Weeknd,6140368,2017-01-06--2017-01-13,global,4F7A0DXBrmUAkp32uenhZt
58,Thinking out Loud,Ed Sheeran,6084730,2017-01-06--2017-01-13,global,1Slwb6dOYkBlWal1PGtnNg
59,Sexual,NEIKED,6044631,2017-01-06--2017-01-13,global,3AsAuGTaDQzavZZThyYlop
60,This Is What You Came For,Calvin Harris,6037377,2017-01-06--2017-01-13,global,0azC730Exh71aQlOt9Zj3y
61,Make Me (Cry),Noah Cyrus,6033323,2017-01-06--2017-01-13,global,2BrzlUj1u1CtvaJDGIKpsP
62,Water Under the Bridge,Adele,6016291,2017-01-06--2017-01-13,global,4vb4mFvYsr2h6enhjJsq9Y
63,Deja Vu,J. Cole,5869142,2017-01-06--2017-01-13,global,6I6NX6tjGsxFAsIfGzY9lJ
64,Perfect Strangers,Jonas Blue,5606008,2017-01-06--2017-01-13,global,1CUVN2kn7mW5FjkqXTR2W1
65,Sunset Lover,Petit Biscuit,5556266,2017-01-06--2017-01-13,global,0hNduWmlWmEmuwEFcYvRu1
66,Lot to Learn,Luke Christopher,5527944,2017-01-06--2017-01-13,global,3TRFq09DUgYj1mug6RRqJW
67,Ride,Twenty One Pilots,5506837,2017-01-06--2017-01-13,global,2Z8WuEywRWYTKe1NybPQEW
68,Too Good,Drake,5428919,2017-01-06--2017-01-13,global,11KJSRSgaDxqydKYiD2Jew
69,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,5359687,2017-01-06--2017-01-13,global,4tCtwWceOPWzenK2HAIJSb
70,"i hate u, i love u (feat. olivia o'brien)",gnash,5304801,2017-01-06--2017-01-13,global,7vRriwrloYVaoAe3a9wJHe
71,Stressed Out,Twenty One Pilots,5223082,2017-01-06--2017-01-13,global,3CRDbSIZ4r5MsZ0YwxuEkn
72,Setting Fires,The Chainsmokers,5172937,2017-01-06--2017-01-13,global,0B8B8cVRFIG1yznoQe7c9s
73,Faded,Alan Walker,5136331,2017-01-06--2017-01-13,global,7gHs73wELdeycvS48JfIos
74,Panda,Desiigner,5069185,2017-01-06--2017-01-13,global,5OOkp4U9P9oL23maHFHL1h
75,Chill Bill,Rob $tone,5028786,2017-01-06--2017-01-13,global,5uDASfU19gDxSjW8cnCaBp
